Array Probe	Category Component
A_15_P191581	ENSDARG00000110040
A_15_P200606	ENSDARG00000116767
	ENSDARG00000025320
	ENSDARG00000060627
A_15_P199891	ENSDARG00000043247
	ENSDARG00000103480
A_15_P207346	ENSDARG00000016337
	ENSDARG00000016337
A_15_P195906	ENSDARG00000003642
	ENSDARG00000111119
A_15_P101320	ENSDARG00000116006
	ENSDARG00000117023
A_15_P180546	ENSDARG00000110374
A_15_P195701	ENSDARG00000115245
	ENSDARG00000098860
A_15_P202141	ENSDARG00000077777
A_15_P212551	ENSDARG00000077777
	ENSDARG00000116486
	ENSDARG00000077360
A_15_P104458	ENSDARG00000025375
	ENSDARG00000089390
	ENSDARG00000116260
A_15_P136996	ENSDARG00000062632
	ENSDARG00000062632
	ENSDARG00000077107
A_15_P134161	ENSDARG00000091124
A_15_P109199	ENSDARG00000102724
	ENSDARG00000114395
	ENSDARG00000088591
A_15_P107861	ENSDARG00000079964
	ENSDARG00000101696
	ENSDARG00000116819
	ENSDARG00000113953
A_15_P113380	ENSDARG00000112308
	ENSDARG00000114418
A_15_P167471	ENSDARG00000098687
A_15_P152586	ENSDARG00000069311
	ENSDARG00000069311
	ENSDARG00000113074
A_15_P222321	ENSDARG00000114386
	ENSDARG00000109761
	ENSDARG00000098424
A_15_P135416	ENSDARG00000116442
	ENSDARG00000090873
A_15_P103949	ENSDARG00000000324
	ENSDARG00000086326
	ENSDARG00000103792
	ENSDARG00000098740
A_15_P120274	ENSDARG00000013125
	ENSDARG00000071636
A_15_P158631	ENSDARG00000113928
	ENSDARG00000103345
	ENSDARG00000002196
A_15_P101072	ENSDARG00000109550
	ENSDARG00000116593
	ENSDARG00000073789
A_15_P284476	ENSDARG00000056339
	ENSDARG00000112704
	ENSDARG00000014169
A_15_P130506	ENSDARG00000040306
	ENSDARG00000060766
	ENSDARG00000108535
A_15_P109383	ENSDARG00000056791
A_15_P404370	ENSDARG00000056791
	ENSDARG00000111884
	ENSDARG00000112736
A_15_P120350	ENSDARG00000098696
A_15_P157941	ENSDARG00000036359
A_15_P365635	ENSDARG00000036359
A_15_P162356	ENSDARG00000015964
A_15_P202981	ENSDARG00000115364
A_15_P240361	ENSDARG00000115364
	ENSDARG00000063215
A_15_P201061	ENSDARG00000098936
A_15_P265456	ENSDARG00000098936
A_15_P419035	ENSDARG00000098936
	ENSDARG00000079220
	ENSDARG00000101901
A_15_P149951	ENSDARG00000070119
	ENSDARG00000115145
	ENSDARG00000038271
	ENSDARG00000111050
	ENSDARG00000103933
A_15_P149661	ENSDARG00000020884
A_15_P580267	ENSDARG00000104768
A_15_P117279	ENSDARG00000111588
A_15_P202046	ENSDARG00000059294
A_15_P493972	ENSDARG00000079046
	ENSDARG00000086378
	ENSDARG00000087575
A_15_P130206	ENSDARG00000059587
A_15_P109395	ENSDARG00000114531
A_15_P147396	ENSDARG00000114531
	ENSDARG00000111952
A_15_P182536	ENSDARG00000112922
	ENSDARG00000074216
	ENSDARG00000116080
	ENSDARG00000036308
	ENSDARG00000100203
A_15_P199821	ENSDARG00000103454
A_15_P219146	ENSDARG00000103454
	ENSDARG00000006585
A_15_P155131	ENSDARG00000037613
	ENSDARG00000077022
	ENSDARG00000056605
	ENSDARG00000102471
	ENSDARG00000113454
	ENSDARG00000086706
A_15_P188146	ENSDARG00000004796
	ENSDARG00000112793
	ENSDARG00000115870
A_15_P191976	ENSDARG00000070661
	ENSDARG00000109721
A_15_P105088	ENSDARG00000102546
A_15_P174746	ENSDARG00000102546
A_15_P408005	ENSDARG00000021432
A_15_P266271	ENSDARG00000067661
A_15_P217176	ENSDARG00000007429
A_15_P205556	ENSDARG00000068596
A_15_P183291	ENSDARG00000115980
	ENSDARG00000074764
A_15_P110439	ENSDARG00000113284
	ENSDARG00000116857
A_15_P102680	ENSDARG00000105046
	ENSDARG00000110635
	ENSDARG00000109521
	ENSDARG00000114992
	ENSDARG00000117068
A_15_P157586	ENSDARG00000058946
A_15_P236121	ENSDARG00000058946
	ENSDARG00000107177
A_15_P460805	ENSDARG00000075352
	ENSDARG00000117144
A_15_P187561	ENSDARG00000115545
	ENSDARG00000099678
	ENSDARG00000080075
	ENSDARG00000098236
	ENSDARG00000111638
	ENSDARG00000113270
	ENSDARG00000109129
	ENSDARG00000085561
	ENSDARG00000110955
	ENSDARG00000099803
A_15_P154926	ENSDARG00000058830
	ENSDARG00000058830
	ENSDARG00000087573
	ENSDARG00000100700
	ENSDARG00000075748
	ENSDARG00000085968
A_15_P111947	ENSDARG00000114756
	ENSDARG00000109440
	ENSDARG00000085572
A_15_P175791	ENSDARG00000098792
	ENSDARG00000116192
	ENSDARG00000102563
	ENSDARG00000110616
	ENSDARG00000109927
	ENSDARG00000083573
	ENSDARG00000116116
A_15_P177204	ENSDARG00000109361
A_15_P181471	ENSDARG00000068732
A_15_P195911	ENSDARG00000068732
	ENSDARG00000107431
	ENSDARG00000117147
	ENSDARG00000081119
	ENSDARG00000101240
	ENSDARG00000113010
	ENSDARG00000114275
	ENSDARG00000112059
	ENSDARG00000117030
	ENSDARG00000111795
	ENSDARG00000113746
	ENSDARG00000116635
	ENSDARG00000082628
	ENSDARG00000104742
A_15_P186742	ENSDARG00000114814
A_15_P189186	ENSDARG00000043281
A_15_P210726	ENSDARG00000043281
	ENSDARG00000112906
	ENSDARG00000114223
	ENSDARG00000108659
	ENSDARG00000109533
	ENSDARG00000116688
	ENSDARG00000115028
	ENSDARG00000086386
	ENSDARG00000108590
	ENSDARG00000086521
	ENSDARG00000011407
	ENSDARG00000112553
	ENSDARG00000109917
	ENSDARG00000081868
	ENSDARG00000087435
	ENSDARG00000114295
	ENSDARG00000106803
A_15_P109117	ENSDARG00000018904
	ENSDARG00000098436
	ENSDARG00000055690
	ENSDARG00000114241
	ENSDARG00000116300
	ENSDARG00000113743
A_15_P145016	ENSDARG00000059529
	ENSDARG00000110501
	ENSDARG00000085695
A_15_P140641	ENSDARG00000041300
	ENSDARG00000113640
	ENSDARG00000115598
	ENSDARG00000109468
	ENSDARG00000110868
A_15_P157776	ENSDARG00000107353
	ENSDARG00000083999
A_15_P152636	ENSDARG00000014891
A_15_P165861	ENSDARG00000014891
A_15_P400105	ENSDARG00000014891
	ENSDARG00000081238
	ENSDARG00000116826
	ENSDARG00000113398
	ENSDARG00000109759
	ENSDARG00000108290
	ENSDARG00000085090
	ENSDARG00000045277
	ENSDARG00000109639
	ENSDARG00000112539
	ENSDARG00000083712
	ENSDARG00000109321
	ENSDARG00000107324
	ENSDARG00000113349
	ENSDARG00000115209
	ENSDARG00000105028
	ENSDARG00000110477
	ENSDARG00000099988
	ENSDARG00000082615
	ENSDARG00000112167
	ENSDARG00000102784
A_15_P296106	ENSDARG00000012113
	ENSDARG00000012113
	ENSDARG00000114973
	ENSDARG00000084004
	ENSDARG00000116206
	ENSDARG00000108956
	ENSDARG00000108458
	ENSDARG00000111178
	ENSDARG00000109266
	ENSDARG00000112331
	ENSDARG00000114913
	ENSDARG00000114584
	ENSDARG00000108823
	ENSDARG00000113485
	ENSDARG00000002701
A_15_P112371	ENSDARG00000002701
	ENSDARG00000110716
	ENSDARG00000112830
	ENSDARG00000103922
	ENSDARG00000111212
	ENSDARG00000112866
	ENSDARG00000113921
	ENSDARG00000115278
	ENSDARG00000114875
	ENSDARG00000099103
A_15_P108116	ENSDARG00000100497
	ENSDARG00000100031
	ENSDARG00000114347
A_15_P144444	ENSDARG00000115958
A_15_P119337	ENSDARG00000115370
	ENSDARG00000115370
	ENSDARG00000107737
	ENSDARG00000080168
	ENSDARG00000116405
	ENSDARG00000116261
A_15_P516667	ENSDARG00000111213
A_15_P111274	ENSDARG00000110076
	ENSDARG00000080655
	ENSDARG00000110116
	ENSDARG00000081514
	ENSDARG00000114752
	ENSDARG00000113425
	ENSDARG00000112067
A_15_P135126	ENSDARG00000100753
	ENSDARG00000100753
A_15_P559762	ENSDARG00000110341
A_15_P121314	ENSDARG00000102885
	ENSDARG00000114070
	ENSDARG00000116710
	ENSDARG00000099396
	ENSDARG00000103647
	ENSDARG00000010925
	ENSDARG00000100082
	ENSDARG00000112340
	ENSDARG00000112397
A_15_P181291	ENSDARG00000030665
A_15_P144746	ENSDARG00000110156
	ENSDARG00000111510
A_15_P107447	ENSDARG00000101844
A_15_P194676	ENSDARG00000101844
A_15_P117380	ENSDARG00000116693
A_15_P178626	ENSDARG00000113782
	ENSDARG00000078775
	ENSDARG00000113251
A_15_P162211	ENSDARG00000116820
A_15_P143766	ENSDARG00000104574
	ENSDARG00000112637
	ENSDARG00000105154
	ENSDARG00000112421
	ENSDARG00000102859
	ENSDARG00000109948
	ENSDARG00000087401
	ENSDARG00000034011
A_15_P102696	ENSDARG00000111673
A_15_P161058	ENSDARG00000109356
	ENSDARG00000114971
	ENSDARG00000113651
	ENSDARG00000110221
A_15_P165996	ENSDARG00000111876
A_15_P197006	ENSDARG00000115809
A_15_P154121	ENSDARG00000069937
	ENSDARG00000104532
	ENSDARG00000115292
A_15_P235446	ENSDARG00000090649
	ENSDARG00000113984
	ENSDARG00000112888
	ENSDARG00000108358
A_15_P201996	ENSDARG00000100614
A_15_P343715	ENSDARG00000100614
	ENSDARG00000112991
	ENSDARG00000114983
	ENSDARG00000113203
	ENSDARG00000110241
	ENSDARG00000110798
A_15_P175991	ENSDARG00000113037
	ENSDARG00000115107
A_15_P153126	ENSDARG00000112098
A_15_P102708	ENSDARG00000110713
	ENSDARG00000101489
	ENSDARG00000112983
	ENSDARG00000114041
	ENSDARG00000115704
A_15_P121322	ENSDARG00000109420
	ENSDARG00000079185
	ENSDARG00000112817
	ENSDARG00000107805
A_15_P112407	ENSDARG00000111580
	ENSDARG00000112740
	ENSDARG00000116333
A_15_P485585	ENSDARG00000114474
	ENSDARG00000102128
A_15_P163811	ENSDARG00000112305
A_15_P320336	ENSDARG00000112305
A_15_P410945	ENSDARG00000112305
	ENSDARG00000108712
	ENSDARG00000110597
	ENSDARG00000113151
	ENSDARG00000083434
A_15_P112611	ENSDARG00000109335
A_15_P236136	ENSDARG00000109335
	ENSDARG00000090368
	ENSDARG00000111076
	ENSDARG00000116955
	ENSDARG00000081636
	ENSDARG00000113302
A_15_P139836	ENSDARG00000117088
	ENSDARG00000109656
	ENSDARG00000115972
	ENSDARG00000100768
	ENSDARG00000102252
	ENSDARG00000108165
	ENSDARG00000113134
	ENSDARG00000100096
A_15_P154761	ENSDARG00000104014
	ENSDARG00000112701
A_15_P185551	ENSDARG00000112744
	ENSDARG00000115977
	ENSDARG00000110371
A_15_P108471	ENSDARG00000112778
	ENSDARG00000107130
	ENSDARG00000078427
	ENSDARG00000109698
A_15_P210141	ENSDARG00000112333
	ENSDARG00000110685
	ENSDARG00000104981
	ENSDARG00000099228
	ENSDARG00000110321
A_15_P375485	ENSDARG00000079201
A_15_P456020	ENSDARG00000079201
	ENSDARG00000102677
	ENSDARG00000098195
	ENSDARG00000089086
	ENSDARG00000107977
	ENSDARG00000111918
A_15_P183691	ENSDARG00000100606
A_15_P317681	ENSDARG00000100606
	ENSDARG00000113153
	ENSDARG00000100212
	ENSDARG00000113592
	ENSDARG00000082746
	ENSDARG00000116252
	ENSDARG00000115267
	ENSDARG00000109870
	ENSDARG00000110981
	ENSDARG00000116549
	ENSDARG00000082440
A_15_P190991	ENSDARG00000116165
	ENSDARG00000114775
	ENSDARG00000112233
A_15_P189126	ENSDARG00000110829
A_15_P185181	ENSDARG00000020863
	ENSDARG00000020863
	ENSDARG00000080790
A_15_P105061	ENSDARG00000112920
A_15_P346420	ENSDARG00000112920
A_15_P508907	ENSDARG00000112920
	ENSDARG00000113980
	ENSDARG00000104878
	ENSDARG00000080041
	ENSDARG00000115346
	ENSDARG00000082173
	ENSDARG00000109696
	ENSDARG00000116026
	ENSDARG00000112463
	ENSDARG00000099198
A_15_P119006	ENSDARG00000115783
A_15_P116870	ENSDARG00000113621
A_15_P142720	ENSDARG00000115995
	ENSDARG00000104424
A_15_P135142	ENSDARG00000114547
	ENSDARG00000114547
A_15_P111009	ENSDARG00000112982
	ENSDARG00000113241
	ENSDARG00000101858
	ENSDARG00000111928
A_15_P167546	ENSDARG00000111398
A_15_P299541	ENSDARG00000079532
	ENSDARG00000116533
	ENSDARG00000109924
	ENSDARG00000112139
A_15_P103891	ENSDARG00000103670
A_15_P154881	ENSDARG00000103670
	ENSDARG00000116373
A_15_P157121	ENSDARG00000114399
	ENSDARG00000108441
	ENSDARG00000114428
	ENSDARG00000112449
	ENSDARG00000010764
	ENSDARG00000114680
	ENSDARG00000116304
	ENSDARG00000103725
	ENSDARG00000112770
A_15_P117576	ENSDARG00000116662
A_15_P199016	ENSDARG00000116662
A_15_P199021	ENSDARG00000116662
	ENSDARG00000116662
	ENSDARG00000116670
A_15_P135081	ENSDARG00000052988
	ENSDARG00000113164
A_15_P198106	ENSDARG00000021885
	ENSDARG00000116412
	ENSDARG00000076019
	ENSDARG00000114652
	ENSDARG00000112128
A_15_P188006	ENSDARG00000059574
	ENSDARG00000111393
A_15_P190621	ENSDARG00000109286
	ENSDARG00000115162
A_15_P108788	ENSDARG00000115554
	ENSDARG00000114826
A_15_P108625	ENSDARG00000091413
	ENSDARG00000046024
	ENSDARG00000111979
	ENSDARG00000074317
	ENSDARG00000112381
A_15_P431635	ENSDARG00000110774
A_15_P434245	ENSDARG00000111517
	ENSDARG00000111517
	ENSDARG00000109491
A_15_P101729	ENSDARG00000077523
A_15_P309206	ENSDARG00000077523
	ENSDARG00000098215
	ENSDARG00000110960
	ENSDARG00000112929
	ENSDARG00000085396
A_15_P468145	ENSDARG00000110260
	ENSDARG00000083865
	ENSDARG00000100234
	ENSDARG00000114209
	ENSDARG00000087664
A_15_P163941	ENSDARG00000110737
	ENSDARG00000084002
	ENSDARG00000110488
A_15_P110707	ENSDARG00000115413
	ENSDARG00000114186
	ENSDARG00000084151
	ENSDARG00000109495
	ENSDARG00000108183
	ENSDARG00000107642
A_15_P145551	ENSDARG00000114224
	ENSDARG00000115417
	ENSDARG00000116508
	ENSDARG00000109073
	ENSDARG00000112708
	ENSDARG00000115312
	ENSDARG00000080682
	ENSDARG00000079771
A_15_P283721	ENSDARG00000111711
A_15_P228251	ENSDARG00000082087
	ENSDARG00000117158
	ENSDARG00000080172
	ENSDARG00000114355
	ENSDARG00000098160
	ENSDARG00000081087
	ENSDARG00000090098
	ENSDARG00000113366
	ENSDARG00000114602
A_15_P154791	ENSDARG00000114602
	ENSDARG00000110502
	ENSDARG00000113487
A_15_P112307	ENSDARG00000114603
	ENSDARG00000109302
A_15_P155721	ENSDARG00000110932
	ENSDARG00000112111
A_15_P146621	ENSDARG00000109238
	ENSDARG00000115399
	ENSDARG00000114473
A_15_P546862	ENSDARG00000108175
	ENSDARG00000110750
	ENSDARG00000111992
	ENSDARG00000115001
	ENSDARG00000112291
	ENSDARG00000101514
A_15_P100555	ENSDARG00000113531
A_15_P238126	ENSDARG00000113531
	ENSDARG00000111573
A_15_P299381	ENSDARG00000100285
	ENSDARG00000100285
A_15_P152286	ENSDARG00000112838
A_15_P550167	ENSDARG00000112838
	ENSDARG00000060081
	ENSDARG00000114762
	ENSDARG00000109680
	ENSDARG00000115496
	ENSDARG00000113246
A_15_P173046	ENSDARG00000070148
A_15_P104043	ENSDARG00000091367
A_15_P183221	ENSDARG00000091367
	ENSDARG00000053186
	ENSDARG00000106989
A_15_P180021	ENSDARG00000116535
A_15_P105261	ENSDARG00000114501
A_15_P501942	ENSDARG00000114501
A_15_P209231	ENSDARG00000104450
	ENSDARG00000112043
	ENSDARG00000112326
A_15_P151811	ENSDARG00000111609
A_15_P144376	ENSDARG00000114952
	ENSDARG00000109473
	ENSDARG00000110840
	ENSDARG00000113348
	ENSDARG00000110191
A_15_P207861	ENSDARG00000026767
	ENSDARG00000026767
	ENSDARG00000112460
A_15_P118583	ENSDARG00000111668
	ENSDARG00000110555
	ENSDARG00000111782
A_15_P175866	ENSDARG00000109677
A_15_P167901	ENSDARG00000113970
A_15_P167906	ENSDARG00000113970
	ENSDARG00000012504
A_15_P166866	ENSDARG00000109623
	ENSDARG00000104809
	ENSDARG00000113808
A_15_P399070	ENSDARG00000108525
A_15_P405870	ENSDARG00000103359
A_15_P155216	ENSDARG00000025074
	ENSDARG00000114450
	ENSDARG00000109581
A_15_P105553	ENSDARG00000113629
A_15_P106284	ENSDARG00000113629
	ENSDARG00000113845
A_15_P172351	ENSDARG00000116001
A_15_P238936	ENSDARG00000116001
	ENSDARG00000117164
A_15_P186501	ENSDARG00000059642
A_15_P346315	ENSDARG00000111390
A_15_P135142	ENSDARG00000111988
A_15_P107648	ENSDARG00000109371
	ENSDARG00000067918
	ENSDARG00000086977
	ENSDARG00000113560
A_15_P169011	ENSDARG00000100389
	ENSDARG00000111571
	ENSDARG00000109467
A_15_P104377	ENSDARG00000115373
A_15_P135771	ENSDARG00000036985
	ENSDARG00000116808
A_15_P110351	ENSDARG00000114503
	ENSDARG00000111491
	ENSDARG00000115097
	ENSDARG00000115819
	ENSDARG00000104259
A_15_P185821	ENSDARG00000111214
A_15_P146761	ENSDARG00000111853
	ENSDARG00000111853
	ENSDARG00000102257
	ENSDARG00000115013
	ENSDARG00000111109
	ENSDARG00000112264
	ENSDARG00000038505
A_15_P187041	ENSDARG00000116018
A_15_P185226	ENSDARG00000114178
	ENSDARG00000113417
	ENSDARG00000075331
A_15_P117384	ENSDARG00000117078
	ENSDARG00000116552
A_15_P169631	ENSDARG00000110703
	ENSDARG00000100962
	ENSDARG00000101212
	ENSDARG00000114383
	ENSDARG00000114950
	ENSDARG00000110065
A_15_P180741	ENSDARG00000113207
	ENSDARG00000077245
	ENSDARG00000110435
A_15_P157426	ENSDARG00000099005
	ENSDARG00000099005
A_15_P118236	ENSDARG00000111226
	ENSDARG00000110821
A_15_P207501	ENSDARG00000115925
	ENSDARG00000113607
	ENSDARG00000115720
	ENSDARG00000101239
A_15_P154226	ENSDARG00000111483
	ENSDARG00000111143
	ENSDARG00000090107
	ENSDARG00000109694
A_15_P202271	ENSDARG00000098079
A_15_P461810	ENSDARG00000098079
	ENSDARG00000114392
	ENSDARG00000116148
	ENSDARG00000112123
	ENSDARG00000111031
A_15_P101769	ENSDARG00000115968
	ENSDARG00000115746
A_15_P198176	ENSDARG00000103298
A_15_P202256	ENSDARG00000090844
	ENSDARG00000110923
A_15_P139836	ENSDARG00000111308
	ENSDARG00000111206
	ENSDARG00000109859
A_15_P186546	ENSDARG00000039264
	ENSDARG00000112047
	ENSDARG00000110124
	ENSDARG00000112275
	ENSDARG00000113370
	ENSDARG00000116466
	ENSDARG00000116539
	ENSDARG00000110694
A_15_P156871	ENSDARG00000112934
A_15_P171976	ENSDARG00000027984
	ENSDARG00000053520
	ENSDARG00000104291
A_15_P157036	ENSDARG00000061481
	ENSDARG00000117169
	ENSDARG00000116994
	ENSDARG00000109799
A_15_P115439	ENSDARG00000101334
	ENSDARG00000116562
A_15_P364815	ENSDARG00000114082
	ENSDARG00000089190
	ENSDARG00000109818
A_15_P114674	ENSDARG00000103295
A_15_P100787	ENSDARG00000115674
	ENSDARG00000116280
	ENSDARG00000113414
	ENSDARG00000087907
	ENSDARG00000113004
	ENSDARG00000113877
A_15_P202316	ENSDARG00000114682
	ENSDARG00000029204
	ENSDARG00000113579
	ENSDARG00000114196
	ENSDARG00000114394
	ENSDARG00000099580
	ENSDARG00000062280
A_15_P409780	ENSDARG00000043137
A_15_P598902	ENSDARG00000043137
A_15_P111806	ENSDARG00000045976
A_15_P198556	ENSDARG00000103674
	ENSDARG00000111525
	ENSDARG00000062748
	ENSDARG00000079584
	ENSDARG00000112428
	ENSDARG00000111084
A_15_P116957	ENSDARG00000099728
A_15_P154341	ENSDARG00000099728
A_15_P553012	ENSDARG00000099115
	ENSDARG00000099115
A_15_P197136	ENSDARG00000109950
	ENSDARG00000075555
	ENSDARG00000105000
	ENSDARG00000114675
A_15_P200126	ENSDARG00000111608
	ENSDARG00000111471
	ENSDARG00000052954
	ENSDARG00000113200
A_15_P143666	ENSDARG00000115041
	ENSDARG00000109919
	ENSDARG00000087099
A_15_P152231	ENSDARG00000106529
	ENSDARG00000117025
	ENSDARG00000103490
	ENSDARG00000054930
	ENSDARG00000077516
A_15_P259826	ENSDARG00000077427
	ENSDARG00000113775
	ENSDARG00000116527
A_15_P113610	ENSDARG00000035391
	ENSDARG00000059805
	ENSDARG00000102581
A_15_P356870	ENSDARG00000075970
	ENSDARG00000110448
	ENSDARG00000112583
	ENSDARG00000112176
	ENSDARG00000112918
	ENSDARG00000007624
	ENSDARG00000114567
A_15_P171526	ENSDARG00000115191
	ENSDARG00000100520
	ENSDARG00000112842
	ENSDARG00000112164
	ENSDARG00000089636
	ENSDARG00000040497
	ENSDARG00000100186
	ENSDARG00000117117
	ENSDARG00000101164
	ENSDARG00000075936
A_15_P110294	ENSDARG00000111394
	ENSDARG00000107952
	ENSDARG00000099238
A_15_P418495	ENSDARG00000116422
A_15_P146156	ENSDARG00000061509
A_15_P147331	ENSDARG00000067658
	ENSDARG00000115866
	ENSDARG00000113837
	ENSDARG00000098557
A_15_P206991	ENSDARG00000055064
A_15_P379260	ENSDARG00000055064
A_15_P170886	ENSDARG00000109908
	ENSDARG00000114843
A_15_P110106	ENSDARG00000114250
	ENSDARG00000090720
A_15_P286086	ENSDARG00000111818
	ENSDARG00000090953
	ENSDARG00000115912
A_15_P114103	ENSDARG00000086150
A_15_P112486	ENSDARG00000003994
	ENSDARG00000098588
A_15_P155576	ENSDARG00000109963
	ENSDARG00000109963
	ENSDARG00000117091
A_15_P176411	ENSDARG00000106357
	ENSDARG00000098832
A_15_P195361	ENSDARG00000098832
A_15_P145261	ENSDARG00000031618
	ENSDARG00000115460
	ENSDARG00000108781
	ENSDARG00000077761
	ENSDARG00000112453
	ENSDARG00000074185
A_15_P171416	ENSDARG00000103893
	ENSDARG00000110163
A_15_P102580	ENSDARG00000102773
A_15_P180076	ENSDARG00000102773
A_15_P364340	ENSDARG00000102773
	ENSDARG00000114363
A_15_P154791	ENSDARG00000114363
	ENSDARG00000103665
	ENSDARG00000104980
	ENSDARG00000116723
A_15_P113357	ENSDARG00000103087
	ENSDARG00000085437
	ENSDARG00000084471
	ENSDARG00000079657
	ENSDARG00000080031
	ENSDARG00000085059
	ENSDARG00000108373
A_15_P184725	ENSDARG00000016605
	ENSDARG00000106188
	ENSDARG00000084164
	ENSDARG00000115286
A_15_P297656	ENSDARG00000103843
	ENSDARG00000085336
A_15_P190426	ENSDARG00000101507
	ENSDARG00000109722
	ENSDARG00000085375
	ENSDARG00000113989
	ENSDARG00000116601
	ENSDARG00000107731
	ENSDARG00000107839
	ENSDARG00000117036
A_15_P153271	ENSDARG00000037229
	ENSDARG00000080462
	ENSDARG00000103753
	ENSDARG00000106754
	ENSDARG00000085557
	ENSDARG00000116088
A_15_P162946	ENSDARG00000116048
	ENSDARG00000100542
	ENSDARG00000107778
	ENSDARG00000111966
	ENSDARG00000112515
	ENSDARG00000103120
A_15_P534252	ENSDARG00000114755
	ENSDARG00000115871
	ENSDARG00000106840
	ENSDARG00000111159
	ENSDARG00000084858
	ENSDARG00000114276
	ENSDARG00000085358
	ENSDARG00000084215
A_15_P110522	ENSDARG00000117029
	ENSDARG00000082901
	ENSDARG00000106223
	ENSDARG00000107748
	ENSDARG00000116004
	ENSDARG00000074919
A_15_P195256	ENSDARG00000112344
	ENSDARG00000108016
	ENSDARG00000113064
	ENSDARG00000108731
	ENSDARG00000109807
	ENSDARG00000110948
	ENSDARG00000109195
	ENSDARG00000117189
	ENSDARG00000116324
	ENSDARG00000111501
	ENSDARG00000116924
A_15_P193891	ENSDARG00000112432
	ENSDARG00000112432
	ENSDARG00000080578
	ENSDARG00000115035
	ENSDARG00000109955
	ENSDARG00000111809
	ENSDARG00000116310
A_15_P110413	ENSDARG00000100514
A_15_P183061	ENSDARG00000100514
A_15_P380335	ENSDARG00000114065
	ENSDARG00000111415
A_15_P193851	ENSDARG00000054164
	ENSDARG00000114008
	ENSDARG00000114773
	ENSDARG00000101562
	ENSDARG00000114533
	ENSDARG00000112543
	ENSDARG00000109342
	ENSDARG00000113692
	ENSDARG00000115096
A_15_P105756	ENSDARG00000114325
	ENSDARG00000109972
	ENSDARG00000115331
	ENSDARG00000101077
	ENSDARG00000117008
A_15_P342565	ENSDARG00000113898
A_15_P140861	ENSDARG00000111266
A_15_P116830	ENSDARG00000078383
A_15_P107872	ENSDARG00000101023
A_15_P173751	ENSDARG00000109791
A_15_P410600	ENSDARG00000109791
	ENSDARG00000090861
	ENSDARG00000099389
	ENSDARG00000083165
	ENSDARG00000115672
	ENSDARG00000114972
	ENSDARG00000099331
	ENSDARG00000084053
A_15_P207481	ENSDARG00000111974
	ENSDARG00000102769
	ENSDARG00000116775
	ENSDARG00000108556
	ENSDARG00000106129
	ENSDARG00000106796
A_15_P551332	ENSDARG00000112445
	ENSDARG00000107368
A_15_P105653	ENSDARG00000034916
A_15_P505112	ENSDARG00000034916
	ENSDARG00000107418
	ENSDARG00000112653
	ENSDARG00000110830
	ENSDARG00000113500
	ENSDARG00000115570
	ENSDARG00000100204
	ENSDARG00000110861
A_15_P515247	ENSDARG00000078142
A_15_P102140	ENSDARG00000116105
A_15_P161831	ENSDARG00000111659
	ENSDARG00000107379
	ENSDARG00000107680
A_15_P161796	ENSDARG00000111069
	ENSDARG00000099912
A_15_P230106	ENSDARG00000093689
A_15_P167836	ENSDARG00000115973
	ENSDARG00000113624
	ENSDARG00000088322
	ENSDARG00000099993
	ENSDARG00000098319
	ENSDARG00000111943
	ENSDARG00000104931
	ENSDARG00000110070
	ENSDARG00000112724
	ENSDARG00000111337
	ENSDARG00000105852
	ENSDARG00000101553
	ENSDARG00000106518
	ENSDARG00000101464
	ENSDARG00000084515
	ENSDARG00000116859
	ENSDARG00000108692
	ENSDARG00000116720
	ENSDARG00000108243
	ENSDARG00000109545
A_15_P105306	ENSDARG00000115900
	ENSDARG00000117087
	ENSDARG00000109060
	ENSDARG00000114260
	ENSDARG00000085188
	ENSDARG00000104293
	ENSDARG00000111348
	ENSDARG00000110014
A_15_P162256	ENSDARG00000114565
	ENSDARG00000115211
	ENSDARG00000116036
	ENSDARG00000112753
	ENSDARG00000085425
	ENSDARG00000099319
	ENSDARG00000111777
	ENSDARG00000108061
A_15_P103119	ENSDARG00000020298
	ENSDARG00000113480
	ENSDARG00000080633
	ENSDARG00000116689
	ENSDARG00000109724
	ENSDARG00000117166
	ENSDARG00000112968
	ENSDARG00000114778
	ENSDARG00000116389
A_15_P195021	ENSDARG00000115836
	ENSDARG00000108087
	ENSDARG00000099168
	ENSDARG00000099167
	ENSDARG00000112033
	ENSDARG00000110238
	ENSDARG00000107454
	ENSDARG00000115401
	ENSDARG00000074129
	ENSDARG00000083179
	ENSDARG00000111999
	ENSDARG00000111812
A_15_P113518	ENSDARG00000109775
	ENSDARG00000115002
A_15_P156076	ENSDARG00000112476
	ENSDARG00000101123
	ENSDARG00000114398
A_15_P272306	ENSDARG00000110762
A_15_P132791	ENSDARG00000109655
A_15_P317381	ENSDARG00000109655
	ENSDARG00000115620
A_15_P163041	ENSDARG00000100376
	ENSDARG00000109237
A_15_P167566	ENSDARG00000111559
	ENSDARG00000116634
	ENSDARG00000114982
	ENSDARG00000092732
	ENSDARG00000110333
	ENSDARG00000116331
A_15_P200396	ENSDARG00000113329
A_15_P187531	ENSDARG00000112981
	ENSDARG00000116258
	ENSDARG00000042777
	ENSDARG00000109719
A_15_P101882	ENSDARG00000117103
A_15_P192776	ENSDARG00000117103
A_15_P113382	ENSDARG00000007901
A_15_P173461	ENSDARG00000109905
A_15_P210606	ENSDARG00000117064
A_15_P217891	ENSDARG00000117064
	ENSDARG00000112591
